type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,street_name,latitude,longitude,dist_to_center_km,geo_cluster,density_listings_per_km2
Co-op for sale,315000,2,1.0,2184.207862,"Manhattan, NY 10037",New York,New York County,New York,Manhattan,40.8101633,-73.9387972,12.216586411586395,14,7.480515990623168
Condo for sale,695000,2,2.0,889.0,"New York, NY 10027",New York,New York County,New York,Manhattan,40.8037811,-73.9462459,11.299414572818433,14,9.616356923835605
Condo for sale,2700000,3,3.0,1398.0,"Brooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,40.7320824,-73.9610327,4.354024185640987,12,1.0673590978064567
Co-op for sale,499000,2,2.0,2184.207862,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7762825,-73.9453865,8.712258376992784,0,25.63203533393683
House for sale,2500000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11215",United States,New York,Kings County,Brooklyn,40.6637132,-73.9806843,5.8607334328694325,5,7.463666345247566
House for sale,709999,4,2.0,2184.207862,"Springfield Gardens, NY 11413",United States,New York,Queens County,Queens,40.6736664,-73.7504403,21.981089932666972,4,1.0663979574796323
Co-op for sale,133000,1,1.0,630.0,"Bronx, NY 10467",New York,Bronx County,The Bronx,East Bronx,40.8720291,-73.8695302,21.106176533624204,3,4.278452318938536
Co-op for sale,520000,1,1.0,730.0,"New York, NY 10021",New York,New York County,New York,Manhattan,40.7685551,-73.9522955,7.675147645529207,0,19.221133632502035
Condo for sale,1250000,1,1.0,855.0,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7791164,-73.9482901,8.832450972003855,0,25.63203533393683
Co-op for sale,239000,1,1.0,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7318103,-73.8443526,13.785472434938452,6,13.875668271483937
Condo for sale,568000,1,1.0,680.0,"Queens, NY 11374",United States,New York,Queens County,Queens,40.733048,-73.8612179,12.407040616072052,6,14.943027369290393
Co-op for sale,1099500,2,1.0,2184.207862,"Manhattan, NY 10014",New York,New York County,New York,Manhattan,40.731826,-74.0091497,2.1321838622001765,12,23.481900151712175
Co-op for sale,1425000,2,2.0,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,Manhattan,40.7261696,-74.0013901,1.5365597001969162,12,10.671987061656782
House for sale,859000,3,2.0,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.621997,-73.905326,13.192582086905496,11,7.459194542994939
Co-op for sale,160000,3,1.0,2184.207862,"Corona, NY 11368",New York,Queens County,Queens,Corona,40.7376451,-73.8581248,12.763841233002442,6,26.68397744512747
Co-op for sale,750000,1,1.0,750.0,"New York, NY 10024",New York,New York County,New York,Manhattan,40.7840294,-73.9767127,8.2957157379062,0,27.77221896955223
Co-op for sale,995000,2,2.0,2184.207862,"Manhattan, NY 10011",New York,New York County,New York,Manhattan,40.747844,-74.00189,3.912079541944771,12,9.60767613168326
Multi-family home for sale,699000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11226",United States,New York,Kings County,Brooklyn,40.6418865,-73.9479336,9.281952231811907,11,5.329592371099837
Co-op for sale,700000,4,1.0,1500.0,"New York, NY 10027",New York,New York County,New York,Manhattan,40.808177,-73.9559355,11.412961987061642,14,7.47938871852929
Foreclosure,499000,4,2.0,1428.0,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6618245,-73.890638,11.257998398088356,1,5.331190246612186
Co-op for sale,460000,2,1.0,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.71712,-73.838966,14.086129245911968,6,16.005575928308506
Co-op for sale,345000,2,1.0,1000.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8819273,-73.9172822,20.23466757799813,9,25.67459249692015
Co-op for sale,299000,3,1.0,640.0,"New York, NY 10022",New York,New York County,New York,Manhattan,40.7578323,-73.9624557,6.207606761579697,0,30.96272357739211
House for sale,400000,4,2.0,1980.0,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.665357,-73.8770867,12.08185755230285,1,6.397428295934623
Townhouse for sale,1238000,3,2.0,1500.0,"Forest Hills, NY 11375",United States,New York,Queens County,Queens,40.7367847,-73.8477757,13.597579608662343,6,13.875668271483937
Multi-family home for sale,1350000,6,2.0,2184.207862,"Brooklyn, NY 11213",United States,New York,Kings County,Brooklyn,40.6702558,-73.9375206,7.464185216131056,8,3.199193872434827
Pending,294000,1,2.0,1074.0,"Floral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,40.7577991,-73.7159564,24.94492869682012,4,12.812161480283883
Multi-family home for sale,999000,7,3.0,3036.0,"Bronx, NY 10451",United States,New York,Bronx County,The Bronx,40.8214661,-73.9132049,14.390045234271627,14,6.41283756901222
House for sale,589000,3,2.0,1320.0,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.5905162,-73.9233755,15.279857156553998,15,1.065120941399932
Co-op for sale,430000,2,1.0,2184.207862,"Woodside, NY 11377",New York,Queens County,Queens,Flushing,40.7472542,-73.8978152,9.88828646274637,18,8.540156561507095
Pending,1199900,4,4.0,2393.0,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5477774,-74.160225,22.496631823563042,17,3.1929762331735425
Co-op for sale,165000,1,1.0,750.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.9047804,-73.9057444,22.954359144503997,9,17.12157035209475
Condo for sale,695000,2,2.0,845.0,"Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,40.6886854,-73.9402301,6.158761271072071,8,5.332789730507887
Co-op for sale,208000,1,1.0,610.0,"Whitestone, NY 11357",New York,New York County,New York,Manhattan,40.7398044,-73.9980373,3.0768137728156804,12,18.145104662709763
House for sale,780000,3,2.0,1320.0,"Brooklyn, NY 11236",United States,New York,Kings County,Brooklyn,40.6384339,-73.8899834,12.810263456455,11,2.1315176143645305
Multi-family home for sale,1245000,7,6.0,2184.207862,"East Elmhurst, NY 11369",United States,New York,Queens County,Queens,40.7591289,-73.8579008,13.499715412924965,6,9.609121110212913
Townhouse for sale,899000,4,3.0,1960.0,"Queens, NY 11426",United States,New York,Queens County,Queens,40.727846,-73.720774,24.095586902649117,4,3.201596118501108
Condo for sale,465000,2,2.0,708.0,"Corona, NY 11368",New York,Queens County,Queens,Corona,40.7511218,-73.8614488,12.903818703200036,6,2.135360246716697
Co-op for sale,479000,2,1.0,1100.0,"Brooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,40.5778092,-73.9728288,15.2689863035652,15,15.972037339276978
Multi-family home for sale,900500,4,2.0,2184.207862,"Brooklyn, NY 11236",United States,New York,Kings County,Brooklyn,40.6468871,-73.8907758,12.170703741596013,11,4.26367389687987
Co-op for sale,245000,2,1.0,900.0,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,Gerritsen Beach,40.6014996,-73.9324298,13.84490405188914,15,3.19584086274518
House for sale,1250000,4,4.0,3300.0,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5675492,-74.140764,19.75241264641519,17,3.193930149788829
House for sale,799000,3,1.0,2184.207862,"Brooklyn, NY 11203",United States,New York,Kings County,Brooklyn,40.6414423,-73.9325148,10.067816582596052,11,6.395510845311669
Co-op for sale,243000,2,1.0,965.0,"Bronx, NY 10468",New York,Bronx County,The Bronx,Fordham Manor,40.8643305,-73.9075188,18.77882650991078,9,6.4167093209345865
Co-op for sale,567000,3,2.0,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7318958,-73.8599645,12.488612300340636,6,26.68397744512747
House for sale,1120000,3,2.0,2184.207862,"Little Neck, NY 11362",United States,New York,Queens County,Queens,40.7639092,-73.7205952,24.708436816668257,4,3.2035222720877474
Co-op for sale,560000,1,1.0,700.0,"New York, NY 10016",New York,New York County,New York,Manhattan,40.7467649,-73.976998,4.4984262608032495,12,34.16062624602838
Townhouse for sale,399985,2,1.0,1148.0,"Brownville, NY 11212",United States,New York,Kings County,Brooklyn,40.6570214,-73.9072202,10.384725828292751,11,2.1321564431654116
Co-op for sale,399000,3,2.0,1492.0,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.7812699,-73.78434,20.16539420190406,7,14.954271752816796
House for sale,1399900,4,4.0,3149.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5900537,-74.0906619,15.404585462158602,2,5.325604706999661
Pending,172800,1,1.0,750.0,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,Mill Basin,40.6149015,-73.9185548,13.149229370025497,11,7.4580779973813085
Co-op for sale,670000,2,2.0,2184.207862,"Bayside, NY 11360",New York,Queens County,Queens,Flushing,40.7843012,-73.7761962,20.92758108395863,7,13.886109484776116
Co-op for sale,1750000,3,3.0,995.0,"Manhattan, NY 10025",New York,New York County,New York,Manhattan,40.7989206,-73.9723967,9.985718057699739,0,16.024847172658518
House for sale,599999,3,2.0,2184.207862,"Brooklyn, NY 11203",United States,New York,Kings County,Brooklyn,40.6494096,-73.9332856,9.342427087938045,11,6.395510845311669
Co-op for sale,410000,1,1.0,2184.207862,"Manhattan, NY 10025",New York,New York County,New York,Manhattan,40.8028416,-73.9670229,10.536676057381616,0,10.684841026484005
Townhouse for sale,815000,3,2.0,2184.207862,"Middle Village, NY 11379",United States,New York,Queens County,Queens,40.722658,-73.877617,10.875292751201863,6,5.33599353083518
Co-op for sale,300000,2,1.0,900.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,40.6479387,-74.0852701,9.833575763481697,2,5.3295923710930575
House for sale,879000,3,2.0,2184.207862,"Middle Village, NY 11379",United States,New York,Queens County,Queens,40.714999,-73.878128,10.780235818822945,6,5.335191976109623
Co-op for sale,278500,2,1.0,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7267837,-73.8587799,12.504139194798135,6,23.47837153564492
Condo for sale,378888,1,1.0,718.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,40.6204781,-74.1109257,13.553724461238081,2,2.1311984408584084
Co-op for sale,275000,2,1.0,815.0,"Bronx, NY 10451",United States,New York,Bronx County,The Bronx,40.8248699,-73.9229829,14.288752166964205,14,6.41283756901222
Multi-family home for sale,1500000,3,2.0,2184.207862,"Brooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.634316,-73.9462919,10.075552708658623,11,6.394552843101725
House for sale,1388800,6,4.0,2146.0,"Staten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.6066676,-74.093461,13.917626767684814,2,5.326401437915409
Multi-family home for sale,1250000,5,5.0,2184.207862,"Ridgewood, NY 11385",United States,New York,Queens County,Queens,40.7034595,-73.8968832,9.255967621127486,8,4.26751265970814
Townhouse for sale,495000,3,2.0,1280.0,"Staten Island, NY 10310",United States,New York,Richmond County,Staten Island,40.6396483,-74.1151985,12.286814281443151,13,2.1315176143672416
Condo for sale,1465000,2,1.0,1107.0,"Brooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,40.7213959,-73.9430921,5.38729488923808,8,4.268794824668143
Co-op for sale,205000,1,1.0,1000.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Fieldston,40.8850075,-73.9070017,20.883306806925685,9,14.976845623184369
Co-op for sale,399000,1,1.0,2184.207862,"Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7517899,-73.88467,11.104565596470025,18,30.96272357735272
Co-op for sale,224000,1,1.0,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7276199,-73.84686,13.512418424014449,6,32.01596118501108
Pending,779000,5,3.0,2000.0,"Jamaica, NY 11413",United States,New York,Queens County,Queens,40.6857875,-73.7538304,21.469468195518502,4,3.1996738383047325
Condo for sale,1199000,2,1.0,1080.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6163434,-74.0377889,11.05556232438241,19,21.30879427820521
Condo for sale,1500000,1,2.0,1218.0,"Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,40.7115725,-73.948677,4.83341859228814,8,6.402230371331548
Co-op for sale,450000,1,1.0,1115.0,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7193296,-73.8380044,14.17735058904916,6,16.005575928308506
Condo for sale,235000,2,1.0,860.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,40.6192765,-74.09515,12.832987999590209,2,4.261758855646462
House for sale,738280,3,2.3738608579684373,1302.0,"Springfield Gardens, NY 11413",United States,New York,Queens County,Queens,40.6619508,-73.7548417,21.91868514169465,10,2.1324760986448745
House for sale,620000,3,2.0,1400.0,"Bronx, NY 10461",United States,New York,Bronx County,The Bronx,40.8464353,-73.8358298,20.642381022484805,3,3.2073862349715254
Townhouse for sale,1348000,5,2.0,2184.207862,"Queens, NY 11368",United States,New York,Queens County,Queens,40.7462947,-73.8595834,12.887469152683336,6,3.202558710561086
House for sale,799000,3,2.0,2184.207862,"Brooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.6284586,-73.9450168,10.696069642469311,11,3.1967976612876123
Multi-family home for sale,1150000,5,3.0,2184.207862,"Elmhurst, NY 11373",United States,New York,Queens County,Queens,40.7313782,-73.8848912,10.413150753835005,18,5.336795489025494
Land for sale,289000,3,2.3738608579684373,2184.207862,"Bronx, NY 10460",United States,New York,Bronx County,The Bronx,40.842629,-73.8665973,18.606166468105894,3,5.345643724959343
Condo for sale,1355000,2,2.0,1002.0,"Brooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,40.6826476,-73.9434923,6.245818754553623,8,5.332789730507887
House for sale,1390000,5,2.0,2184.207862,"Woodside, NY 11377",United States,New York,Queens County,Queens,40.7358829,-73.8988063,9.390787554663808,18,2.1347181956129133
Condo for sale,1995000,5,4.0,3075.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,40.8879309,-73.9121663,21.01447525387755,9,25.67459249692015
Co-op for sale,550000,3,1.0,2184.207862,"Manhattan, NY 10011",New York,New York County,New York,Manhattan,40.7330596,-73.9959886,2.405567793513233,12,18.145104662709763
Condo for sale,725000,2,2.0,792.0,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,Bushwick,40.6898164,-73.9062474,8.78883885410043,8,2.1331158922004416
Condo for sale,995000,2,2.0,1015.0,"New York, NY 10026",New York,New York County,New York,Manhattan,40.8030984,-73.9559736,10.88902138926937,14,7.47938871852929
Multi-family home for sale,869888,4,3.0,2184.207862,"Richmond Hill, NY 11418",United States,New York,Queens County,Queens,40.7019014,-73.8256776,15.247878560758762,10,5.334390824635174
Pending,959000,2,2.0,1719.0,"Floral Park, NY 11005",New York,Queens County,Queens,Queens Village,40.7564761,-73.7212008,24.48282534234106,4,10.676801233583486
Multi-family home for sale,760000,4,2.0,1490.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.6100159,-74.0754726,12.84380943641891,2,7.4580779973813085
Pending,399000,2,1.0,2184.207862,"New York, NY 10065",New York,New York County,New York,Manhattan,40.7631466,-73.9622114,6.704617641340745,0,32.03522272087748
Co-op for sale,729000,3,2.0,1400.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,Riverdale,40.8924692,-73.9091145,21.57860957033455,9,6.419618258669518
House for sale,1099000,5,2.0,1760.0,"Howard Beach, NY 11414",United States,New York,Queens County,Queens,40.6481943,-73.8452374,15.342194731693585,1,1.0659184742199674
Co-op for sale,269000,1,1.0,900.0,"Jamaica, NY 11432",New York,Queens County,Queens,Jamaica,40.7125699,-73.79318,17.937494984905925,10,13.87149913788502
House for sale,330000,3,1.0,2184.207862,"Brooklyn, NY 11225",United States,New York,Kings County,Brooklyn,40.6604827,-73.9468571,7.662281484824425,5,4.264952197289749
Co-op for sale,599000,2,2.0,1200.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6186895,-74.032363,10.698252394092991,19,21.30879427820521
House for sale,688000,3,2.0,1344.0,"Brooklyn, NY 11224",United States,New York,Kings County,Brooklyn,40.5773399,-73.9943294,15.094646213247493,15,2.129604978570264
Condo for sale,665000,2,1.0,1120.0,"Jackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7519149,-73.8861292,10.996957608349867,18,30.96272357735272
Pending,739000,6,4.0,2184.207862,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.5877991,-73.9216187,15.616393398982337,15,1.0649616753158246
Condo for sale,749000,1,2.0,908.0,"Queens, NY 11375",New York,Queens County,Queens,Forest Hills,40.7190009,-73.8365029,14.30195960817308,6,16.005575928308506
Co-op for sale,239000,1,1.0,700.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Manhattan Beach,40.5782536,-73.9534785,15.603338572605189,15,5.3240124464188865
Co-op for sale,220000,1,1.0,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.725937,-73.8572908,12.617502682508247,6,23.47837153564492
Co-op for sale,1295000,2,2.0,2184.207862,"Manhattan, NY 10075",New York,New York County,New York,Manhattan,40.774576,-73.9624413,7.787931137907478,0,17.088023555957886
Co-op for sale,872500,1,1.0,2184.207862,"New York, NY 10003",New York,New York County,New York,Manhattan,40.7369827,-73.984881,3.224589726035813,12,23.481900151712175
Co-op for sale,2850000,3,2.0,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,Manhattan,40.7282135,-73.9990284,1.8118122846340605,12,7.470390943169251
House for sale,529000,3,1.0,1800.0,"Queens, NY 11427",United States,New York,Queens County,Queens,40.7212998,-73.7544395,21.222373447878528,4,1.0671987061670358
Condo for sale,309000,2,1.0,862.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,Parkchester,40.8385018,-73.86211,18.497885675802998,3,8.551739701158699
Co-op for sale,199900,3,1.0,550.0,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7291499,-73.84944,13.318642150451074,6,32.01596118501108
Co-op for sale,200000,1,1.0,2184.207862,"Queens, NY 11373",New York,Queens County,Queens,Elmhurst,40.7304899,-73.8735933,11.330413439195556,6,9.60623188025811
House for sale,265000,3,1.0,2184.207862,"Springfield Gardens, NY 11413",United States,New York,Queens County,Queens,40.67538,-73.7472571,22.207451474624794,4,2.1327959149592646
Condo for sale,639999,3,2.0,1180.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Kingsbridge,40.8874214,-73.9034179,21.250413579335447,9,14.976845623184369
Co-op for sale,225000,1,1.0,2184.207862,"Bayside, NY 11361",New York,Queens County,Queens,Auburndale,40.7664499,-73.78359,19.664886292920663,7,8.542726058889793
Pending,895000,2,2.0,1111.0,"New York, NY 10021",New York,New York County,New York,Manhattan,40.7696861,-73.9557104,7.6132831372409955,0,19.221133632502035
Condo for sale,1795000,2,2.0,2184.207862,"New York, NY 10025",New York,New York County,New York,Manhattan,40.7954592,-73.9753123,9.547858667238907,0,16.024847172658518
House for sale,1149000,3,2.0,1660.0,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.6093215,-73.9448683,12.608886912626007,15,7.456962013081574
Condo for sale,1650000,2,2.0,1065.0,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7833546,-73.9499982,9.154492975589957,0,10.681622680597012
Pending,698999,3,2.0,2184.207862,"South Ozone Park, NY 11420",United States,New York,Queens County,Queens,40.6680173,-73.8253534,16.024205222410437,1,2.1324760986448745
Condo for sale,342990,2,1.0,900.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,40.6202645,-74.1099106,13.51605956521016,2,4.2623968817113935
Pending,599000,2,3.0,2184.207862,"Manhattan, NY 10019",New York,New York County,New York,Manhattan,40.768983,-73.987526,6.438233817200845,0,14.949770603057138
Townhouse for sale,999000,7,4.0,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6656785,-73.8916486,10.973249223955126,1,5.331190246612186
Co-op for sale,390000,2,1.0,1100.0,"Queens, NY 11375",United States,New York,Queens County,Queens,40.7155654,-73.8311146,14.743045850162964,6,16.005575928308506
Multi-family home for sale,699000,6,2.0,2184.207862,"Brooklyn, NY 11203",United States,New York,Kings County,Brooklyn,40.6373525,-73.9344092,10.335971064215698,11,6.394552843093591
Co-op for sale,545000,1,1.0,2184.207862,"Manhattan, NY 10024",New York,New York County,New York,Manhattan,40.7863158,-73.9702042,8.713004783816736,0,27.77221896955223
Condo for sale,593000,2,2.0,1312.0,"Staten Island, NY 10305",New York,Richmond County,Staten Island,Rosebank,40.6151849,-74.0646359,11.92796763365706,2,6.392638283469693
Multi-family home for sale,888000,5,4.0,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6741308,-73.8908415,10.618443468999592,1,3.199193872438897
Co-op for sale,875000,2,2.0,2184.207862,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7821142,-73.9544199,8.84783926549844,0,21.36324536116685
Pending,110000,1,1.0,650.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.906568,-73.8968047,23.42412126470349,9,4.280392588029133
Co-op for sale,550000,2,2.0,1012.0,"Manhattan, NY 10035",New York,New York County,New York,Manhattan,40.7986288,-73.9351095,11.257765849410948,14,7.478262013897795
Condo for sale,815000,2,2.0,1000.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,40.5869733,-73.9514755,14.728066792310644,15,6.38977005188682
House for sale,1488000,3,2.0,2886.0,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5792773,-74.1211285,17.74212878085507,17,6.388814935702664
Condo for sale,215000,1,1.0,625.0,"New York, NY 10012",New York,New York County,New York,Manhattan,40.7267732,-74.002538,1.580907312746723,12,10.671987061656782
Co-op for sale,738000,3,2.0,2184.207862,"Manhattan, NY 10022",New York,New York County,New York,Manhattan,40.7595774,-73.964779,6.254357223261686,0,30.96272357739211
Co-op for sale,130000,1,1.0,720.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,East Bronx,40.8527259,-73.8670374,19.467321960393182,3,10.69290108591759
House for sale,758800,3,2.0,1633.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5910792,-74.0801059,14.908828831817543,2,1.0651209413985772
House for sale,2095000,4,4.0,3223.0,"Jamaica, NY 11432",United States,New York,Queens County,Queens,40.7200361,-73.8007029,17.32113975593307,10,6.403192237002216
Pending,485000,3,2.0,1200.0,"Brooklyn, NY 11214",United States,New York,Kings County,Brooklyn,40.5883839,-73.9910376,13.891924877315866,15,1.0649616753158246
Co-op for sale,285000,1,1.0,2184.207862,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.9073699,-73.9065578,23.197535317669182,9,17.12157035209475
House for sale,660000,3,2.0,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6574259,-73.8808077,12.220694256061066,1,3.1982346647481172
Co-op for sale,419000,2,1.0,2184.207862,"Flushing, NY 11367",New York,Queens County,Queens,Flushing,40.7312799,-73.8192399,15.872390127932569,10,4.269436391220395
House for sale,650000,2,2.0,896.0,"Bellerose, NY 11426",United States,New York,Queens County,Queens,40.7452362,-73.7204545,24.33003712676088,4,2.1350391403767737
Multi-family home for sale,938000,5,3.0,1890.0,"Brooklyn, NY 11229",11229,United States,New York,Kings County,40.6065668,-73.9413437,13.010859689279439,15,7.456962013081574
Co-op for sale,279999,1,1.0,790.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,40.5844399,-73.9316116,15.591822600895823,15,11.71457842845917
Multi-family home for sale,678990,3,3.0,1575.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6012318,-74.1300175,16.22800014635003,13,4.261121150332328
Co-op for sale,2095000,4,4.0,2184.207862,"New York, NY 10022",United States,New York,New York County,New York,40.7579677,-73.9636757,6.159680528900839,0,30.96272357739211
Contingent,898888,3,3.0,2080.0,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5550173,-74.163012,21.985456449937114,17,5.322421786011761
Multi-family home for sale,785000,7,3.0,3388.0,"Bronx, NY 10460",United States,New York,Bronx County,The Bronx,40.8423282,-73.8710228,18.347103867137573,3,2.1382574899837374
House for sale,638000,3,2.0,1728.0,"Nyc, NY 10465",New York,Bronx County,The Bronx,East Bronx,40.814845,-73.8159564,19.6195543886924,7,6.411870849105573
House for sale,749000,4,1.0,1040.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6165347,-74.1507186,16.235013423416316,13,4.261758855641042
Co-op for sale,670000,1,1.0,2184.207862,"New York, NY 10022",New York,New York County,New York,Manhattan,40.7593483,-73.9617192,6.380429037034393,0,30.96272357739211
Co-op for sale,388000,2,1.0,2184.207862,"Forest Hills, NY 11375",United States,New York,Queens County,Queens,40.7272034,-73.8471901,13.4792676045758,6,32.01596118501108
House for sale,1080000,6,3.0,3600.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6110496,-74.1309465,15.46229489706696,13,6.392638283469693
House for sale,611999,3,2.0,2184.207862,"Cambria Heights, NY 11411",United States,New York,Queens County,Queens,40.6973209,-73.7315945,23.194788498686773,4,2.1334360304684896
Co-op for sale,529000,2,2.0,1200.0,"Elmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7438826,-73.8873872,10.5756102435879,18,13.877754412431374
Condo for sale,2995000,4,3.0,2135.0,"Manhattan, NY 10026",New York,New York County,New York,Manhattan,40.802892,-73.957154,10.829705431121354,14,7.47938871852929
Co-op for sale,199900,1,1.0,2184.207862,"Bronx, NY 10451",New York,Bronx County,The Bronx,Concourse,40.8260352,-73.9256625,14.293689359306587,14,6.41283756901222
Co-op for sale,2995000,3,2.0,2184.207862,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,40.6703253,-73.9724152,5.506758290894729,5,5.331989787398161
Multi-family home for sale,875000,7,5.0,2680.0,"Bronx, NY 10472",United States,New York,Bronx County,The Bronx,40.8270095,-73.8766285,16.732358947576785,3,7.4816438305142565
Co-op for sale,279000,3,1.0,1400.0,"Bronx, NY 10462",United States,New York,Bronx County,The Bronx,40.8563536,-73.865974,19.844076535877992,3,10.69290108591759
Pending,299000,2,1.0,2184.207862,"Howard Beach, NY 11414",New York,Queens County,Queens,Howard Beach,40.6642386,-73.8477653,14.392923405257914,1,12.794856591869246
House for sale,625000,4,2.0,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6283989,-73.9334448,11.20366403064826,11,5.327996102139243
Co-op for sale,499000,2,1.0,900.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6273371,-74.0262024,9.654590476918862,19,8.524793763433633
Co-op for sale,269999,1,1.0,2184.207862,"Bellerose, NY 11426",New York,Queens County,Queens,Glen Oaks,40.7522899,-73.72315,24.23396029387222,4,10.676801233583486
Co-op for sale,2800000,2,2.0,2184.207862,"New York, NY 10021",New York,New York County,New York,Manhattan,40.7734427,-73.9647171,7.587247149535999,0,17.088023555957886
Multi-family home for sale,799000,5,3.0,2400.0,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8181836,-73.812739,20.05551187364072,7,6.411870849105573
Multi-family home for sale,875000,3,2.3738608579684373,1688.0,"Bronx, NY 10466",United States,New York,Bronx County,The Bronx,40.8905817,-73.8304424,24.68099753659993,3,3.209809129334759
Co-op for sale,1450000,1,2.0,1100.0,"New York, NY 10010",New York,New York County,New York,Manhattan,40.7388141,-73.9855043,3.369029423878197,12,23.481900151712175
House for sale,799000,3,2.0,1816.0,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5557686,-74.1327357,20.475883362794374,17,4.2579374288094085
